DriverId	ADDRESS	CITY	STATE	ZIP	LOCATION
105881	1515 W CHICAGO AVE	CHICAGO	IL	60622-5237	"1515 W CHICAGO AVE
CHICAGO, IL 60622-5237
(41.89608788800007, -87.66547706999995)"
105868	3308 S HAMILTON AVE	CHICAGO	IL	60608-6067	"3308 S HAMILTON AVE
CHICAGO, IL 60608-6067
(41.83365991100004, -87.67907777199997)"
105865	3101 W 26TH ST	CHICAGO	IL	60623-4145	"3101 W 26TH ST
CHICAGO, IL 60623-4145
(41.844532843000025, -87.70270070199996)"
105862	333 W 35TH ST	CHICAGO	IL	60616-3621	"333 W 35TH ST
CHICAGO, IL 60616-3621
(41.83086657700005, -87.63502618399997)"
105860	325 N. HOYNE	CHICAGO	IL	60612	"325 N. HOYNE
CHICAGO, IL 60612
(41.88740107900003, -87.67921724399997)"
105859	5424 W MONTROSE AVE	CHICAGO	IL	60641-1324	"5424 W MONTROSE AVE
CHICAGO, IL 60641-1324
(41.96055350700004, -87.76334235199994)"
105855	1243 W NORWOOD ST	CHICAGO	IL	60660-2518	"1243 W NORWOOD ST
CHICAGO, IL 60660-2518
(41.991812895000066, -87.66206087499995)"
105852	2224 STANTON RD	DAPHNE	AL	36526-5128	"2224 STANTON RD
DAPHNE, AL 36526-5128
(30.595562581000024, -87.89191789099993)"
105851	400 N MCCLURG CT	CHICAGO	IL	60611-4323	"400 N MCCLURG CT
CHICAGO, IL 60611-4323
(41.889420932000064, -87.61770789199994)"
105850	3575 N MILWAUKEE AVE	CHICAGO	IL	60641-3957	"3575 N MILWAUKEE AVE
CHICAGO, IL 60641-3957
(41.94561561200004, -87.73451520299994)"
105849	7015 N CLARK ST	CHICAGO	IL	60626-2405	"7015 N CLARK ST
CHICAGO, IL 60626-2405
(42.009466649000046, -87.67403081299994)"
105847	14328 COUNTRY CLUB LN	ORLAND PARK	IL	60462-2843	"14328 COUNTRY CLUB LN
ORLAND PARK, IL 60462-2843
(41.62975903500006, -87.82638778399996)"
105846	6244 S WESTERN AVE	CHICAGO	IL	60636-2024	"6244 S WESTERN AVE
CHICAGO, IL 60636-2024
(41.779850655000075, -87.68368689999994)"
105845	4325 W ADDISON ST	CHICAGO	IL	60641-3811	"4325 W ADDISON ST
CHICAGO, IL 60641-3811
(41.94625122100007, -87.73615718099995)"
105844	200 W MADISON ST	CHICAGO	IL	60606-3414	"200 W MADISON ST
CHICAGO, IL 60606-3414
(41.88197715100006, -87.63394918299997)"
105843	3212 N BROADWAY ST	CHICAGO	IL	60657-3515	"3212 N BROADWAY ST
CHICAGO, IL 60657-3515
(41.94046952200006, -87.64443787599998)"
105841	3450 N WESTERN AVE	CHICAGO	IL	60618-6012	"3450 N WESTERN AVE
CHICAGO, IL 60618-6012
(41.94400549800008, -87.68822189299999)"
105840	1848 MCKNIGHT RD N	SAINT PAUL	MN	55109-4852	"1848 MCKNIGHT RD N
SAINT PAUL, MN 55109-4852
(44.997068726000066, -93.00496119399997)"
105837	2311 W NORTH AVE	CHICAGO	IL	60647-5314	"2311 W NORTH AVE
CHICAGO, IL 60647-5314
(41.91031108800007, -87.68525343799996)"
105836	4512 N KEDZIE AVE	CHICAGO	IL	60625-4511	"4512 N KEDZIE AVE
CHICAGO, IL 60625-4511
(41.96328058800003, -87.70834414499996)"
105835	2575 N CLYBOURN AVE	CHICAGO	IL	60614-1940	"2575 N CLYBOURN AVE
CHICAGO, IL 60614-1940
(41.92849355000004, -87.67370514899994)"
105834	1335 N MOHAWK ST	CHICAGO	IL	60610-1150	"1335 N MOHAWK ST
CHICAGO, IL 60610-1150
(41.90649398100004, -87.64202770299994)"
105833	5649 N LINCOLN AVE	CHICAGO	IL	60659-4957	"5649 N LINCOLN AVE
CHICAGO, IL 60659-4957
(41.98416720100005, -87.69682515399995)"
105832	5001 W POLK ST	CHICAGO	IL	60644-5244	"5001 W POLK ST
CHICAGO, IL 60644-5244
(41.87016304700006, -87.74975067299994)"
105831	12600 S TORRENCE AVE	CHICAGO	IL	60633-1178	"12600 S TORRENCE AVE
CHICAGO, IL 60633-1178
(41.666050846000076, -87.55890438199998)"
105830	1651 W BALMORAL AVE	CHICAGO	IL	60640-1385	"1651 W BALMORAL AVE
CHICAGO, IL 60640-1385
(41.97976914800006, -87.67133259399998)"
105829	1550 W 88TH ST	CHICAGO	IL	60620-4828	"1550 W 88TH ST
CHICAGO, IL 60620-4828
(41.73399790500008, -87.66259092399997)"
105828	2812 S WENTWORTH AVE	CHICAGO	IL	60616-2648	"2812 S WENTWORTH AVE
CHICAGO, IL 60616-2648
(41.842220025000074, -87.63181773099996)"
105827	5316 N MILWAUKEE AVE	CHICAGO	IL	60630-1269	"5316 N MILWAUKEE AVE
CHICAGO, IL 60630-1269
(41.97717891600007, -87.76915394599996)"
105826	34 TAMWORTH PL	SCHAUMBURG	IL	60194-3947	"34 TAMWORTH PL
SCHAUMBURG, IL 60194-3947
(42.02724786500005, -88.12762766699996)"
105825	5400 MCKENNA RD	MONONA	WI	53716-3043	"5400 MCKENNA RD
MONONA, WI 53716-3043
(43.060941445000026, -89.33585276399998)"
105824	6540 W BELMONT AVE	CHICAGO	IL	60634-3929	"6540 W BELMONT AVE
CHICAGO, IL 60634-3929
(41.93826751100005, -87.79007131799995)"
105823	229 W EUGENIE ST	CHICAGO	IL	60614-5705	"229 W EUGENIE ST
CHICAGO, IL 60614-5705
(41.91283025100006, -87.63598843699998)"
105822	7893 ENTERPRISE DR	MENTOR	OH	44060-5309	"7893 ENTERPRISE DR
MENTOR, OH 44060-5309
(41.65624077600006, -81.38147624799996)"
105821	PO BOX 402	MAYWOOD	IL	60153-0402	"PO BOX 402
MAYWOOD, IL 60153-0402
(41.880927702000065, -87.84379860699994)"
105820	2101 S CARPENTER ST	CHICAGO	IL	60608-4502	"2101 S CARPENTER ST
CHICAGO, IL 60608-4502
(41.85348146300004, -87.65301430999995)"
105819	3333 N MARSHFIELD AVE	CHICAGO	IL	60657-2123	"3333 N MARSHFIELD AVE
CHICAGO, IL 60657-2123
(41.94225977800005, -87.66991176699997)"
105818	1819 S SAINT LOUIS AVE	CHICAGO	IL	60623-2532	"1819 S SAINT LOUIS AVE
CHICAGO, IL 60623-2532
(41.85681834300004, -87.71264853799994)"
105817	420 S CLINTON ST	CHICAGO	IL	60607-3811	"420 S CLINTON ST
CHICAGO, IL 60607-3811
(41.876564794000046, -87.64104498699999)"
105816	5430 S ASHLAND AVE	CHICAGO	IL	60609-5801	"5430 S ASHLAND AVE
CHICAGO, IL 60609-5801
(41.79508223100004, -87.66465139499996)"
105814	1603 W TAYLOR ST	CHICAGO	IL	60612-4310	"1603 W TAYLOR ST
CHICAGO, IL 60612-4310
(41.869233690000044, -87.66672216399996)"
105812	2001 S MICHIGAN AVE	CHICAGO	IL	60616-5041	"2001 S MICHIGAN AVE
CHICAGO, IL 60616-5041
(41.854872267000076, -87.62382355499994)"
105810	8S421 OXFORD LN	NAPERVILLE	IL	60565-1503	"8S421 OXFORD LN
NAPERVILLE, IL 60565-1503
(41.74801195600003, -88.12387353299994)"
